id_rest,id_OSM_rest,name,bbox
lon_9.6778656_lat_50.6230423,way/221257692,Rotkopf,"[9.674304014494881, 50.62245133742504, 9.681369813669386, 50.626946080279794]"
lon_9.7123388_lat_50.4733475,way/221257697,Steinhauk,"[9.710193356623245, 50.47103004127596, 9.717236583800377, 50.475524901536886]"
lon_11.1650168_lat_51.1280879,way/224344637,Thüringer Becken West,"[11.160913286886853, 51.12625529658828, 11.168055895006784, 51.130749648269074]"
lon_11.165322_lat_51.1277215,way/224344638,Thüringer Becken Ost,"[11.164348765452289, 51.126764894723586, 11.171491356311979, 51.13125924649086]"
lon_10.9544554_lat_50.9407623,way/224345904,Erfurter Becken - Ost,"[10.954322521197126, 50.93726339249131, 10.961435986139657, 50.94175789109519]"
lon_10.4537487_lat_50.4697772,way/224643772,Thüringer Tor,"[10.45192782246934, 50.469381302164926, 10.45897081929381, 50.47387616362987]"
lon_10.4530068_lat_50.4711034,way/224643777,Thüringer Tor,"[10.451856606535499, 50.46790278938157, 10.458899394195628, 50.47239765193987]"
lon_10.5152409_lat_52.0369274,way/224651732,Ziegenberg,"[10.513333632016664, 52.035980283261736, 10.520620210248815, 52.0404739349162]"
lon_10.5080423_lat_52.0491815,way/224652642,Werla,"[10.503409513156518, 52.04495105906976, 10.51069767467475, 52.04944470325663]"
lon_9.4422125_lat_54.6154292,way/226085142,Jalmer Moor,"[9.436752537294126, 54.614985196555146, 9.44449214629763, 54.61947689549575]"
lon_10.6690769_lat_53.8037285,way/226621458,Auf dem Karkfeld,"[10.667954651018741, 53.79936071017054, 10.67554351803726, 53.8038530200259]"
lon_10.675298_lat_53.8007703,way/226621459,Auf dem Karkfeld,"[10.668469302426594, 53.7996283742308, 10.676058096002343, 53.804120684392736]"
lon_10.9549595_lat_50.9380515,way/239356478,Erfurter Becken - West,"[10.95077536721323, 50.93694818897542, 10.957888852219666, 50.94144268747752]"
lon_8.6561041_lat_53.2118683,way/241240609,Bremer Schweiz,"[8.650461900180508, 53.20817732530672, 8.657945896589977, 53.21267008220899]"
lon_8.6583088_lat_53.2111443,way/241240610,Habichthorst,"[8.657604396761583, 53.208861628053256, 8.665088267676337, 53.213354385501816]"
lon_9.8969787_lat_52.4106715,way/241492234,Altwarmbüchener Moor,"[9.895875257530776, 52.407013344379585, 9.90322290809748, 52.411506711488435]"
lon_9.7695186_lat_54.2841989,way/241996816,Ohe Ost,"[9.76810417609556, 54.28012308930208, 9.7757810706479, 54.284615038020895]"
lon_11.3570959_lat_50.9374444,way/243445899,Habichtsfang,"[11.351359283117871, 50.93672760407166, 11.358472426799084, 50.94122210430527]"
lon_11.0708191_lat_50.9099067,way/244665458,Willroder Forst,"[11.067986472301623, 50.90724598013062, 11.075095503654161, 50.91174050124531]"
lon_11.070887_lat_50.9105953,way/244665463,Willroder Forst,"[11.068639086142232, 50.9101410580119, 11.075748254977421, 50.914635578427905]"
lon_10.8080134_lat_50.8782277,way/244665581,Drei Gleichen,"[10.806689098997053, 50.875971233815406, 10.81379320854189, 50.88046577996933]"
lon_10.1726923_lat_51.0086765,way/244666444,Burgberg,"[10.17219478079399, 51.00624410775914, 10.17931884244167, 51.010738552730956]"
lon_9.8774063_lat_50.9046737,way/244667547,Seulingswald,"[9.876750259985943, 50.90425799367473, 9.883858647531877, 50.90875251806175]"
lon_9.0527584_lat_52.2180625,way/244805250,Bruchwiese,"[9.04931503470641, 52.21464746459624, 9.056630936044243, 52.2191409787366]"
lon_9.423032_lat_52.3476048,way/244808059,Bad Nenndorf,"[9.419127559029343, 52.34379508932369, 9.426464630692104, 52.348288505210846]"
lon_9.4208246_lat_52.3458992,way/244808062,Bückethaler Knick,"[9.41845195592726, 52.345788753164655, 9.425789339700582, 52.350282167609656]"
lon_8.2630337_lat_53.1820056,way/244871735,Bornhorster Wiesen Ost,"[8.260743277348373, 53.17996177233787, 8.268222201463816, 53.18445455134245]"
lon_8.2596852_lat_53.1852074,way/244871736,Bornhorster Wiesen West,"[8.255860320419428, 53.18191846400748, 8.263339549146645, 53.18641124168346]"
lon_11.0100226_lat_50.8366037,way/245167702,Dornheimer Rieth,"[11.009608821072138, 50.83588225467442, 11.016706853241416, 50.840376831818666]"
lon_10.5316238_lat_50.5995636,way/245169771,Dolmar,"[10.530467866897652, 50.597178303818325, 10.537530099372347, 50.60167306514974]"
lon_11.6915015_lat_51.9435264,way/245171758,Dreihöhenberg,"[11.686811371470702, 51.93969813630854, 11.694082332119011, 51.94419186188634]"
lon_11.7205665_lat_51.7087958,way/245173175,Saaleaue,"[11.716773912689762, 51.7081031015254, 11.724007577190934, 51.712597005587995]"
lon_11.7174498_lat_51.7113852,way/245173181,Saaleaue,"[11.714414614804086, 51.70818344375814, 11.721648367576828, 51.712677347395015]"
lon_12.0055212_lat_51.5564663,way/245174355,Petersberg,"[11.999217045001291, 51.5543448000115, 12.0064265414591, 51.5588388212213]"
lon_12.0026469_lat_51.5585101,way/245174356,Petersberg,"[11.998295492667049, 51.5547078698908, 12.00550494874535, 51.55920189129731]"
lon_9.9061758_lat_51.6070521,way/246101163,Leineholz,"[9.900568369136671, 51.60284549370042, 9.90778548568214, 51.60733947784656]"
lon_9.9052624_lat_51.601567,way/246101170,Leineholz,"[9.90144281475053, 51.60026837823538, 9.90865947099797, 51.60476236461704]"
lon_9.9423746_lat_51.7161249,way/246102103,Schlochau-Ost,"[9.941334853690824, 51.715948047965604, 9.94856974000186, 51.720441946137136]"
lon_10.3839933_lat_53.9180845,way/258903440,Kronberg,"[10.383981176667538, 53.91625295835321, 10.391590948309025, 53.920745181306245]"
lon_10.3887051_lat_53.9187746,way/258903441,Kronberg,"[10.382001399070152, 53.91577597805841, 10.389611389860004, 53.92026820010423]"
lon_8.4102192_lat_53.0580627,way/264771711,,"[8.409208421209245, 53.05681774710855, 8.41666590924285, 53.06131062002058]"
lon_11.7774094_lat_50.5807536,way/272626083,Himmelsteiche,"[11.776723651585057, 50.5795256577305, 11.783783181626236, 50.58402043308013]"
lon_9.7731665_lat_53.7040762,way/286874829,Forst Rantzau,"[9.768971198366314, 53.69977621568378, 9.776542143599128, 53.70426860061764]"
lon_9.7685523_lat_53.7077592,way/286874830,Forst Rantzau,"[9.766095536657023, 53.704137850659606, 9.773667170431533, 53.70863023269913]"
lon_10.8893354_lat_50.4230805,way/288991130,Im Werratal,"[10.885752826156088, 50.41888959777373, 10.892788500888942, 50.423384497571675]"
lon_10.8907057_lat_50.4209612,way/288991137,Im Werratal,"[10.884577619747722, 50.419586246521575, 10.891613323183774, 50.424081146169016]"
lon_9.4507501_lat_50.3248577,way/289515207,Hundsrücker Berg,"[9.450448964422307, 50.32348507445357, 9.45747036599386, 50.327980049321766]"
lon_9.5406188_lat_50.9403942,way/293899021,Am Pommer,"[9.537546114788428, 50.93661662969966, 9.54465963642142, 50.941111128015976]"
lon_13.968411_lat_53.2173979,way/293946788,Rathsburgseen Süd,"[13.962960778849743, 53.213867958921846, 13.970445699271908, 53.21836071180262]"
lon_10.0335813_lat_51.7803957,way/295963764,Am Bierberg-Ost,"[10.03200557490917, 51.77848454572067, 10.039250625816223, 51.782978394998715]"
lon_10.0338812_lat_51.7811423,way/295963765,Am Bierberg,"[10.029169849237409, 51.777345186277046, 10.036414746516957, 51.78183903629252]"
lon_9.9386962_lat_53.6678072,way/296390971,Bönningstedt,"[9.937208026628674, 53.66483693665168, 9.94477282420327, 53.66932934746299]"
lon_9.9242982_lat_53.8199638,way/296494595,Moorkaten-Ost,"[9.919110038970016, 53.819463084956446, 9.926702321479985, 53.82395538056405]"
lon_9.9398139_lat_53.9224456,way/296503902,Sielsbrook,"[9.938995646902956, 53.92072007237257, 9.946606442116671, 53.92521229108896]"
lon_9.946725_lat_53.9405503,way/296503903,Bimöhlen,"[9.940945096075207, 53.94042169270774, 9.948559206013158, 53.94491389771606]"
lon_11.2514815_lat_51.3300061,way/296859455,Hohe Schrecke Ost,"[11.249589671607643, 51.32869044573885, 11.256763658779077, 51.33318464123093]"
lon_10.0752917_lat_53.2253978,way/299272616,Garlstorfer Wald,"[10.074422803108527, 53.22476379961359, 10.081909555900223, 53.22925654452395]"
lon_8.1980563_lat_52.7804098,way/299469055,Cappeln Hagelage Ost,"[8.195811232421397, 52.77839348725621, 8.203221163558679, 52.78288657143534]"
lon_8.2003211_lat_52.7862705,way/299469056,Cappeln Hagelage West,"[8.194171990981419, 52.7815074859843, 8.201582462904023, 52.78600056773808]"
lon_8.2810289_lat_52.8853475,way/299600733,Engelmannsbäke Nord,"[8.279017594942422, 52.88319462581484, 8.286445450343821, 52.88768762988852]"
lon_8.5064074_lat_52.9359003,way/299600772,,"[8.502670109575773, 52.932313450034385, 8.510106403055184, 52.93680641659859]"
lon_8.656512_lat_52.9922486,way/299600774,,"[8.65437751322579, 52.991380074904605, 8.661823704340605, 52.99587299763429]"
lon_8.1745426_lat_52.7086937,way/301010787,Bakumer Wiesen Ost,"[8.172819981658135, 52.70708689453135, 8.180217885317779, 52.71158003279068]"
lon_11.7769971_lat_50.5810114,way/302623910,Himmelsteiche,"[11.775710968968983, 50.580546752116554, 11.782770548225866, 50.58504152721074]"
lon_10.1538882_lat_52.3604733,way/305047922,Röhrse Süd,"[10.150902842547247, 52.35911345447175, 10.158242206795197, 52.36360685977004]"
lon_8.6053214_lat_49.6640668,way/306850386,Kälberpfad,"[8.60224054093479, 49.66003353470908, 8.609166181472297, 49.66452902535523]"
lon_8.5975012_lat_50.0004823,way/307073506,Kaiserstein,"[8.592282168207369, 50.00047777999242, 8.599256398781865, 50.0049730062607]"
lon_10.3229911_lat_53.7357901,way/310668098,Rehbrook West,"[10.320881446972408, 53.732812248484294, 10.328458299074619, 53.737304608613826]"
lon_10.2594398_lat_53.6359541,way/310735820,Ohlendieck,"[10.258723457357256, 53.63296525851146, 10.266282551379081, 53.63745769338754]"
lon_10.2493842_lat_53.6299917,way/310736042,Ellerbrook,"[10.245481341225448, 53.627539660372726, 10.253039144419601, 53.63203210070273]"
lon_12.9657887_lat_52.5227729,way/317634791,,"[12.964530878871699, 52.52135988316177, 12.971897254132873, 52.52585316444962]"
lon_8.7644676_lat_50.0661731,way/323878114,Hainbach,"[8.761188166612504, 50.06532198625841, 8.768171672231121, 50.06981716269042]"
lon_8.7653162_lat_50.0670321,way/323878115,Hainbach,"[8.760521098653301, 50.06639375041983, 8.767504709613133, 50.070888926286955]"
lon_12.6432698_lat_52.3390277,way/344607450,Grebser Heide,"[12.641597614552227, 52.336595228151126, 12.64893337414791, 52.34108865010287]"
lon_12.6446278_lat_52.3391265,way/344608644,Rietzer See,"[12.639263321868603, 52.33749265005962, 12.646599377038152, 52.34198607064489]"
lon_9.7753836_lat_54.2766464,way/344828110,Ohe West,"[9.773596582566766, 54.27349252325328, 9.781272087869082, 54.27798447757486]"
lon_12.516355_lat_52.3415843,way/345597023,Temnitz,"[12.511783592297258, 52.33941841067473, 12.519119886702137, 52.3439118301541]"
lon_10.8414075_lat_52.3057505,way/345616137,Uhry,"[10.839356079565421, 52.302973561115934, 10.846686345347935, 52.30746700849651]"
lon_8.1151722_lat_53.3867215,way/346384624,,"[8.109553625503052, 53.384118720819764, 8.117068218569555, 53.38861134534999]"
lon_8.0064879_lat_53.2482326,way/346395266,,"[8.00466977671301, 53.246207606823155, 8.012160158844113, 53.25070033596397]"
lon_8.0045611_lat_53.248459,way/346395651,,"[8.001759308786925, 53.244029788161946, 8.009249690629881, 53.248522517304025]"
lon_9.2499078_lat_54.1380406,way/363875371,Dithmarscher Geest,"[9.244648754224153, 54.13710735167912, 9.252299028701723, 54.141599408288904]"
lon_9.7308396_lat_50.557363,way/367969083,Rastplatz Petersberg,"[9.728889808682128, 50.5561636317023, 9.735945771142363, 50.56065842558267]"
lon_9.7394653_lat_50.5111262,way/367969086,Rastplatz Pilgerzell,"[9.736648711966655, 50.50672885569566, 9.743697349555895, 50.51122368771156]"
lon_9.7314325_lat_50.4012351,way/367986496,Rastplatz Rhöneiche,"[9.725636163510611, 50.39712552716069, 9.73266851800226, 50.40162044438061]"
lon_9.7335412_lat_50.3854139,way/368016602,Rastplatz Am Forsthaus,"[9.731158804483046, 50.38263552381592, 9.738188914301679, 50.38713045282814]"
lon_9.6298358_lat_50.7479999,way/368338550,Rastplatz Dornbusch,"[9.623934819700386, 50.74649069069177, 9.63101932231625, 50.75098533711509]"
lon_9.6821912_lat_50.6848592,way/368338551,Rastplatz Günterswald,"[9.678039972820269, 50.68258195402952, 9.685114878610616, 50.6870766498363]"
lon_9.683614_lat_50.6856155,way/368338552,Rastplatz Mahlertshof,"[9.677658389739427, 50.68152647107354, 9.68473327912394, 50.68602116696491]"
lon_9.5495297_lat_50.7894263,way/368338553,Rastplatz Ottersbach,"[9.546672918214698, 50.78730725662742, 9.553763710720526, 50.79180187079335]"
lon_9.7305344_lat_50.5458187,way/368338555,Rastplatz Röther Tannen,"[9.72994354363998, 50.54280797759669, 9.736997525434312, 50.54730278177725]"
lon_9.1106685_lat_50.7152858,way/368605258,Dottenberg,"[9.108665305121042, 50.712264036277816, 9.1157448552354, 50.7167587081606]"
lon_8.9660829_lat_50.6403329,way/368605259,Rastplatz Finkenwald,"[8.960163144759937, 50.638302900691116, 8.96723140879824, 50.642797630793474]"
lon_8.967664_lat_50.6400352,way/368605260,Rastplatz Heg-Berg,"[8.961412678831895, 50.639173841543034, 8.968480818151061, 50.64366857229032]"
lon_9.1042696_lat_50.7142736,way/368605261,Krachgarten,"[9.103273358920339, 50.7127753106608, 9.110352682196497, 50.71726998371098]"
