id_rest,id_OSM_rest,name,bbox
lon_13.8520632_lat_53.0925266,way/206622294,Wilmersdorfer Forst,"[13.844498853717988, 53.08959565702652, 13.853454775255843, 53.09498707404006]"
lon_7.3726926_lat_53.2222086,way/210112745,Rheiderland,"[7.367855886482918, 53.21912160121971, 7.376838899085607, 53.22451289985577]"
lon_7.3693221_lat_53.2220034,way/210112746,Rheiderland,"[7.367663943898967, 53.221915584327775, 7.376647129555258, 53.22730688221111]"
lon_12.0320348_lat_51.2100148,way/215817520,Pörstental,"[12.02992688069827, 51.20504271191431, 12.038512855252318, 51.21043585974565]"
lon_10.6333468_lat_52.2512109,way/216914010,Herzogsberge,"[10.625663015692508, 52.248221590455174, 10.634448553801993, 52.25361377736105]"
lon_10.6320454_lat_52.2513501,way/216914011,Herzogsberge,"[10.625710774764999, 52.247963416132606, 10.634496486507908, 52.25335560223094]"
lon_10.0413714_lat_53.3330705,way/217667294,Hasselhöhe,"[10.040992497123055, 53.328471482812276, 10.04999849181195, 53.33386268186524]"
lon_10.0385684_lat_53.3493845,way/217670991,Seevetal,"[10.03664477289273, 53.34406912540905, 10.045654177528077, 53.34946030975161]"
lon_9.6811216_lat_50.6510697,way/221257631,Fuchsberg,"[9.67520409977787, 50.64577750062189, 9.683687838379123, 50.65117116732756]"
lon_9.6802586_lat_50.6048477,way/221257652,Hummelskopf,"[9.67792336179619, 50.603971463940034, 9.68639918645566, 50.609365171599364]"
lon_9.7447582_lat_50.4360417,way/221257679,Lohmühle,"[9.744322217955988, 50.43450802251709, 9.752767677019394, 50.43990188838923]"
lon_9.4723046_lat_51.1759244,way/221257680,Markwald,"[9.466519928227857, 51.17364361229754, 9.475099867967483, 51.179036790240666]"
lon_9.474156_lat_51.1815402,way/221257683,Quillerwald,"[9.469030875968791, 51.17696496587714, 9.47761153832398, 51.182358140211285]"
lon_9.6778656_lat_50.6230423,way/221257692,Rotkopf,"[9.670755491714996, 50.62180282496324, 9.679234450721577, 50.62719651638894]"
lon_9.7123388_lat_50.4733475,way/221257697,Steinhauk,"[9.70680618261152, 50.469902136997725, 9.715258055221293, 50.47529596931085]"
lon_11.1650168_lat_51.1280879,way/224344637,Thüringer Becken West,"[11.163278417282054, 51.12588513339167, 11.171849547023008, 51.13127835540863]"
lon_11.165322_lat_51.1277215,way/224344638,Thüringer Becken Ost,"[11.16245263892734, 51.12601312190291, 11.171023747956005, 51.131406344023624]"
lon_10.9544554_lat_50.9407623,way/224345904,Erfurter Becken - Ost,"[10.949803974267983, 50.93701135150874, 10.95834013219611, 50.9424047498334]"
lon_10.4537487_lat_50.4697772,way/224643772,Thüringer Tor,"[10.446797403940302, 50.468304565658734, 10.45524900012688, 50.47369839941667]"
